000021 	 5.488543E+00 	 -8.07476472E+03  1.31001973E+03  1.06464749E+00  3.76595261E+01  2.31732372E+02  2.01112367E-01 	 2.35678948E+01 5.32124582E+03 5.32124582E+03 009765 	 5.74277439E+03 6.00000000E+03 2.34967345E+00 
000022 	 5.749902E+00 	 -8.06447889E+03  1.37191474E+03  1.08470198E+00  3.93012622E+01  2.31467782E+02  8.86157607E-02 	 2.34933192E+01 5.27125471E+03 5.27125471E+03 009729 	 5.71170684E+03 6.00000000E+03 2.33703524E+00 
000023 	 6.011261E+00 	 -8.05370874E+03  1.43374869E+03  1.06526616E+00  4.12652494E+01  2.31110902E+02  5.85136649E-02 	 2.34348853E+01 5.23137770E+03 5.23137770E+03 009695 	 5.69617931E+03 6.00000000E+03 2.30521544E+00 
000024 	 6.272621E+00 	 -8.04245176E+03  1.49555171E+03  1.02977038E+00  4.30668659E+01  2.30945295E+02 -1.17295153E-01 	 2.33516189E+01 5.18290687E+03 5.18290687E+03 009640 	 5.68933610E+03 6.00000000E+03 2.28359796E+00 
000025 	 6.533980E+00 	 -8.03071513E+03  1.55722224E+03  9.78410617E-01  4.48350556E+01  2.30500920E+02 -5.02710075E-02 	 2.32996925E+01 5.14380805E+03 5.14380805E+03 009587 	 5.67681639E+03 6.00000000E+03 2.29390996E+00 
000026 	 6.795339E+00 	 -8.01850796E+03  1.61878763E+03  9.50216742E-01  4.65348408E+01  2.30230536E+02 -1.38115693E-01 	 2.32020363E+01 5.08226116E+03 5.08226116E+03 009515 	 5.65333397E+03 6.00000000E+03 2.25003909E+00 
000027 	 7.056698E+00 	 -8.00581827E+03  1.68027689E+03  9.91874493E-01  4.83069670E+01  2.29876362E+02  9.68852616E-02 	 2.30253580E+01 4.96753870E+03 4.96753870E+03 009443 	 5.62746602E+03 6.00000000E+03 2.10355405E+00 
000028 	 7.318057E+00 	 -7.99266867E+03  1.74164956E+03  1.02721236E+00  5.00899284E+01  2.29458172E+02  1.41788073E-01 	 2.29455500E+01 4.91460661E+03 4.91460661E+03 009379 	 5.60392741E+03 6.00000000E+03 2.05922774E+00 
000029 	 7.579417E+00 	 -7.97904408E+03  1.80294867E+03  1.06808676E+00  5.18528850E+01  2.29084217E+02  1.87484659E-01 	 2.28553046E+01 4.85759642E+03 4.85759642E+03 009316 	 5.57991636E+03 6.00000000E+03 2.03983340E+00 
000030 	 7.840776E+00 	 -7.96495216E+03  1.86411995E+03  1.04182155E+00  5.36786748E+01  2.28688562E+02 -4.88388174E-02 	 2.27841144E+01 4.81338038E+03 4.81338038E+03 009253 	 5.56162787E+03 6.00000000E+03 2.04887729E+00 
000031 	 8.102135E+00 	 -7.95040762E+03  1.92516950E+03  9.92015489E-01  5.53380574E+01  2.28202711E+02 -3.37618097E-02 	 2.27117541E+01 4.76412627E+03 4.76412627E+03 009183 	 5.54367248E+03 6.00000000E+03 2.06839763E+00 
000032 	 8.363494E+00 	 -7.93539802E+03  1.98611162E+03  9.99840834E-01  5.69978683E+01  2.27763266E+02 -1.01255977E-02 	 2.26446955E+01 4.72086496E+03 4.72086496E+03 009118 	 5.52844852E+03 6.00000000E+03 2.04690644E+00 
