000800 
010455 
8.0000000000E+02 
000000 	 2.09409073E-05 	 -6.60125187E+03 -9.85644294E+02 -2.68436586E-01 	 -7.70571457E+00  5.05278725E+01  2.59497612E-01 	  2.09409073E-05  2.00000000E-02  0.00000000E+00 0 	 1.256454E-01 6.569573E+00 1.616653E-01 1.827667E-03 2.971675E+03  9.999900E+03  9.999900E+03 
000001 	 3.27373439E-04 	 -6.60695312E+03 -9.39089827E+02  1.77545527E+01 	 -7.66679843E+00  5.06621873E+01 -2.07462262E-01 	  3.27373439E-04  2.00000000E-02  0.00000000E+00 1 	 1.964241E+00 3.134136E+03 1.719495E+00 1.598166E+01 8.811309E+03  2.001345E+00  7.435156E-02 
000002 	 2.20857720E-05 	 -6.57571450E+03 -1.29599544E+03  7.41230647E+00 	 -9.80027687E+00  5.03190248E+01  1.05654906E+00 	  2.20857720E-05  2.00000000E-02  0.00000000E+00 0 	 1.325146E-01 7.484053E+00 1.691602E-01 2.103614E-03 3.009039E+03  1.657117E+01  1.766624E+00 
000003 	 1.26152382E-04 	 -6.59259435E+03 -9.82274393E+02  1.15876752E+00 	 -7.52446194E+00  5.08054093E+01  1.29895292E-01 	  1.26152382E-04  2.00000000E-02  0.00000000E+00 1 	 7.569143E-01 5.433815E+02 6.985016E-01 1.827509E-01 4.520813E+03  7.360904E+00  1.179114E+00 
000004 	 3.60650342E-05 	 -6.59713552E+03 -9.84037839E+02 -4.37623533E-01 	 -7.36369205E+00  5.05363029E+01  1.88716520E-01 	  3.60650342E-05  2.00000000E-02  0.00000000E+00 0 	 2.163902E-01 2.628515E+01 2.428867E-01 6.725123E-03 3.357829E+03  1.321402E+01  1.761221E+00 
000005 	 5.58839318E-05 	 -6.59450070E+03 -9.80723846E+02 -3.83479689E+00 	 -7.74980359E+00  5.05372085E+01 -3.90157414E-02 	  5.58839318E-05  2.00000000E-02  0.00000000E+00 0 	 3.353036E-01 8.289711E+01 3.264422E-01 1.609255E-02 3.602372E+03  1.140173E+01  1.670815E+00 
000006 	 1.77561586E-05 	 -6.63887155E+03 -1.24328859E+03  9.69473229E-02 	 -9.28934587E+00  4.98876031E+01 -3.43440363E-02 	  1.77561586E-05  2.00000000E-02  0.00000000E+00 0 	 1.065370E-01 4.434797E+00 1.389501E-01 1.155012E-03 2.857937E+03  9.999900E+03  9.999900E+03 
000007 	 2.06954121E-05 	 -6.59991477E+03 -9.81074720E+02  1.13961833E+00 	 -7.41634627E+00  5.09740670E+01  7.12297345E-02 	  2.06954121E-05  2.00000000E-02  0.00000000E+00 0 	 1.241725E-01 6.383991E+00 1.600155E-01 1.770796E-03 2.963442E+03  9.999900E+03  9.999900E+03 
000008 	 4.29546957E-05 	 -6.60041812E+03 -9.83592573E+02  3.65258126E-01 	 -7.57242582E+00  5.03162156E+01  1.46920670E-01 	  4.29546957E-05  2.00000000E-02  0.00000000E+00 0 	 2.577282E-01 4.166752E+01 2.727761E-01 9.674645E-03 3.470092E+03  1.237734E+01  1.725305E+00 
000009 	 5.80217292E-05 	 -6.60128353E+03 -9.82196844E+02  2.81504336E+00 	 -7.42640365E+00  5.07210087E+01 -2.91761282E-02 	  5.80217292E-05  2.00000000E-02  0.00000000E+00 0 	 3.481304E-01 9.127989E+01 3.354951E-01 1.727671E-02 3.617075E+03  1.128311E+01  1.664134E+00 
000010 	 3.22134972E-05 	 -6.59934204E+03 -9.79172366E+02 -6.30325564E+00 	 -7.50374044E+00  5.03621634E+01  1.73995378E-01 	  3.22134972E-05  2.00000000E-02  0.00000000E+00 0 	 1.932810E-01 1.955586E+01 2.249207E-01 5.245855E-03 3.279252E+03  1.384850E+01  1.778753E+00 
000011 	 1.87055049E-05 	 -6.59578456E+03 -1.27041408E+03  4.03568997E+00 	 -9.19662627E+00  5.03864675E+01  1.20035598E-01 	  1.87055049E-05  2.00000000E-02  0.00000000E+00 0 	 1.122330E-01 5.010969E+00 1.460344E-01 1.340549E-03 2.893534E+03  9.999900E+03  9.999900E+03 
000012 	 1.22553217E-04 	 -6.63294804E+03 -1.35975782E+03  5.37561138E+00 	 -1.06314423E+01  4.97429566E+01  1.62528495E-01 	  1.22553217E-04  2.00000000E-02  0.00000000E+00 1 	 7.353193E-01 5.081303E+02 6.816848E-01 1.597994E-01 4.425246E+03  7.582370E+00  1.230220E+00 
000013 	 1.64928198E-05 	 -6.60204766E+03 -9.84709517E+02  5.31295174E-01 	 -7.57573306E+00  5.06746283E+01 -5.10917964E-02 	  1.64928198E-05  2.00000000E-02  0.00000000E+00 0 	 9.895692E-02 3.576102E+00 1.350680E-01 9.284981E-04 2.744760E+03  9.999900E+03  9.999900E+03 
000014 	 1.54911421E-05 	 -6.59748945E+03 -9.79977662E+02  7.68197176E-01 	 -7.80081164E+00  5.05871547E+01 -3.08796117E-01 	  1.54911421E-05  2.00000000E-02  0.00000000E+00 0 	 9.294685E-02 2.848023E+00 1.379187E-01 7.658772E-04 2.588593E+03  9.999900E+03  9.999900E+03 
000015 	 3.08025815E-05 	 -6.58842818E+03 -7.79874386E+02  1.05831257E+01 	 -6.25745147E+00  5.07731389E+01  2.88942161E-01 	  3.08025815E-05  2.00000000E-02  0.00000000E+00 0 	 1.848155E-01 1.740476E+01 2.180051E-01 4.739333E-03 3.247367E+03  1.412181E+01  1.783694E+00 
000016 	 8.07736469E-05 	 -6.59856713E+03 -9.81990322E+02  9.06049995E-01 	 -7.76384840E+00  5.04028835E+01  3.96494570E-01 	  8.07736469E-05  2.00000000E-02  0.00000000E+00 0 	 4.846419E-01 2.025947E+02 4.447618E-01 3.488390E-02 3.744794E+03  1.019853E+01  1.602202E+00 
